gen_query,actual_query,gen_output,actual_output,validation,correct_output
"select avg(review_stars) from Reviews where city = ""Anthem""",SELECT AVG(T2.review_stars) FROM Business AS T1 INNER JOIN Reviews AS T2 ON T1.business_id = T2.business_id WHERE T1.city LIKE 'Anthem',,"[(3.8017241379310347,)]",yes,0
select count(distinct county) from geographic where street_name = 'appian way',SELECT COUNT(DISTINCT T2.county) FROM location AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.street_name = 'appian way',,"[(2,)]",yes,0
"select t1.fname, t1.lname from employee as t1 join publishers as t2 on t1.emp_id = t2.emp_id where t2.job_lvl = (select max(job_lvl) from employee)","SELECT T1.fname, T1.minit, T1.lname FROM employee AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id ORDER BY T1.job_lvl DESC LIMIT 1",,"[('Maria', 'J', 'Pontes')]",no,0
"select count(*) from client where email!= ""%gmail.com%""",SELECT COUNT(email) FROM client WHERE email NOT LIKE '%@gmail.com',"[(2402,)]","[(2402,)]",yes,1
"select count(*) from city as t1 join country as t2 on t1.countryCode = t2.countryCode where t2.name = ""Philippines""",SELECT COUNT(ID) FROM City WHERE Name = 'PHL',"[(136,)]","[(0,)]",yes,0
select t1.o_orderdate from orders as t1 join lineitem as t2 on t1.o_orderkey = t2.l_orderkey where t2.o_totalprice = (select max(o_totalprice) from orders),SELECT o_orderdate FROM orders WHERE o_totalprice = ( SELECT MAX(o_totalprice) FROM orders ),"[('1994-06-24',)]","[('1994-06-24',)]",yes,1
select t1.first from patients as t1 join encounters as t2 on t1.patient = t2.71949668 where t2.REASONDESCRIPTION = 'Normal pregnancy',SELECT DISTINCT T1.first FROM patients AS T1 INNER JOIN encounters AS T2 ON T1.patient = T2.PATIENT WHERE T2.REASONDESCRIPTION = 'Normal pregnancy',"[('Elly',), ('Elly',), ('Elly',), ('Elly',), ('Elly',)]","[('Elly',), ('Lavelle',), ('Ira',), ('Ula',), ('Angelena',)]",yes,0
select t1.name from country as t1 join economy as t2 on t1.country = t2.country where t1.population > 1 billion order by t2.GDP limit 1,SELECT T1.Name FROM country AS T1 INNER JOIN economy AS T2 ON T1.Code = T2.Country WHERE T1.Population > 1000000000 ORDER BY T2.GDP ASC LIMIT 1,"[('China',)]","[('China',)]",yes,1
select count(*) from subscribers as t1 join bike_share as t2 on t1.start_station_name = t2.start_station_name where t2.name = 'Evelyn Park and Ride',"SELECT SUM(T2.dock_count), COUNT(T1.subscription_type) FROM trip AS T1 INNER JOIN station AS T2 ON T2.name = T1.start_station_name WHERE T2.name = 'Evelyn Park and Ride' AND T1.start_station_name = T2.name AND T1.subscription_type = 'Subscriber'",,,yes,0
select distinct genre from movies where isEnglish = 'T' and runningtime <= 2,SELECT T2.genre FROM movies AS T1 INNER JOIN movies2directors AS T2 ON T1.movieid = T2.movieid WHERE T1.runningtime <= 2 AND T1.isEnglish = 'T' AND T1.country = 'other',,"[('Drama',), ('Action',), ('Drama',), ('Comedy',), ('Comedy',)]",yes,0
"select t1.ord_date, sum(t2.qty) from sales as t1 join order as t2 on t1.ord_date = t2.ord_date where t2.qty = (select max(qty) from orders)","SELECT ord_date, SUM(qty) FROM sales GROUP BY ord_date ORDER BY SUM(qty) DESC LIMIT 1","[('1994-09-14 00:00:00.0', 85)]","[('1994-09-14 00:00:00.0', 85)]",yes,1
,SELECT T1.Installs FROM playstore AS T1 INNER JOIN user_reviews AS T2 ON T1.App = T2.App GROUP BY T1.App ORDER BY SUM(T2.Sentiment_Polarity) DESC LIMIT 1,,,yes,0
select count(*) from genes as t1 join interactions as t2 on t1.GeneID = t2.GeneID where t1.Class = 'GTP/GDP-exchange factors' and t1.Localization = 'cytoplasm',SELECT T2.GeneID1 FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Localization = 'nucleus' AND T1.Class = 'Transcription factors' AND T1.Essential = 'Essential' AND T2.Expression_Corr != 0,"[(0,)]","[('G234100',), ('G234100',), ('G234100',), ('G234141',), ('G234141',)]",yes,0
"select t2.birth_name, t1.role from episode as t1 join person as t2 on t1.person = t2.adam greeley where t1.season = 20","SELECT DISTINCT T1.birth_name, T2.role FROM Person AS T1 INNER JOIN Credit AS T2 ON T1.name = T2.person WHERE T1.name = 'Al Jean';",,"[('Alfred Ernest Jean III', 'executive producer')]",yes,0
select t2.supplierName from order_details as t1 join products as t2 on t1.productID = t2.productID where t1.orderDate = '8/14/1996',SELECT T1.CompanyName FROM Suppliers AS T1 INNER JOIN Products AS T2 ON T1.SupplierID = T2.SupplierID INNER JOIN `Order Details` AS T3 ON T2.ProductID = T3.ProductID INNER JOIN Orders AS T4 ON T3.OrderID = T4.OrderID WHERE date(T4.OrderDate) = '1996-08-14',,,yes,0
"select t1.active, t1.inactive from business as t1 join Reviews as t2 on t1.business_id = t2.business_id where t2.review_count = 'Low'",SELECT CAST(SUM(CASE WHEN active = 'true' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN active = 'false' THEN 1 ELSE 0 END) AS radio FROM Business WHERE review_count = 'Low',,"[(7.406968641114982,)]",yes,0
select t2.dewpoint from sales_in_weather as t1 join weather as t2 on t1.store_nbr = t2.store_nbr where t1.item_nbr = 5 and t2.year = 2012 order by t2.max(units) desc limit 1,"SELECT dewpoint FROM sales_in_weather AS T1 INNER JOIN relation AS T2 ON T1.store_nbr = T2.store_nbr INNER JOIN weather AS T3 ON T2.station_nbr = T3.station_nbr WHERE T2.store_nbr = 3 AND SUBSTR(T1.`date`, 1, 4) = '2012' AND T1.item_nbr = 5 ORDER BY units DESC LIMIT 1",,"[(26,)]",yes,0
select seriescode from Country as t1 join Series as t2 on t1.CountryCode = t2.ABW where t1.LongName = 'Islamic state of Afghanistan' and t1.Year = 1965,SELECT DISTINCT T3.Seriescode FROM Country AS T1 INNER JOIN Indicators AS T2 ON T1.CountryCode = T2.CountryCode INNER JOIN CountryNotes AS T3 ON T2.CountryCode = T3.Countrycode WHERE T2.IndicatorName = 'Number of infant deaths' AND T1.LongName = 'Islamic State of Afghanistan' AND T2.Year = 1965,,"[('DT.DOD.DECT.CD',), ('EG.EGY.PRIM.PP.KD',), ('EG.ELC.RNEW.ZS',), ('EG.FEC.RNEW.ZS',), ('NE.CON.PRVT.PP.CD',)]",yes,0
select user_id from Users where user_yelping_since_year = 2012,SELECT DISTINCT T1.user_id FROM Elite AS T1 INNER JOIN Years AS T2 ON T1.year_id = T2.year_id WHERE T2.actual_year = 2012,"[(1,), (10,), (11,), (14,), (17,)]","[(3,), (19,), (33,), (45,), (65,)]",yes,0
select t1.percentage from course as t1 join taughtBy as t2 on t1.course_id = t2.course_id where t1.courseLevel = 'Level_400',SELECT CAST(SUM(CASE  WHEN courseLevel = 'Level_400' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) AS per FROM course,"[(31,)]","[(31.818181818181817,)]",yes,0
select sum(total payment) from orders as t1 join customers as t2 on t1.customerID = t2.customerID where t2.city = 'San Francisco',SELECT SUM(T3.UnitPrice * T3.Quantity * (1 - T3.Discount)) AS TOTALPAYMENT FROM Customers AS T1 INNER JOIN Orders AS T2 ON T1.CustomerID = T2.CustomerID INNER JOIN `Order Details` AS T3 ON T2.OrderID = T3.OrderID WHERE T1.City = 'San Francisco',,,no,0
